id,keyword,normalized_keyword,variant_type,candidate_type,source_type,status,entity_name,entity_source_type,entity_review_status,score,confidence,trademark_risk,verification_status,ad_copy_allowed,landing_page_allowed,created_at
131,american express phone number,american express phone number,phone_number,phone_number,cfpb_complaint,approved_seed,AMERICAN EXPRESS COMPANY,cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
128,american express reviews,american express reviews,reviews,reviews,cfpb_complaint,approved_seed,AMERICAN EXPRESS COMPANY,cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
157,sofi technologies,sofi technologies,brand,brand,cfpb_complaint,approved_seed,"SOFI TECHNOLOGIES, INC.",cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
162,sofi technologies alternative,sofi technologies alternative,alternative,alternative,cfpb_complaint,approved_seed,"SOFI TECHNOLOGIES, INC.",cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
160,sofi technologies bbb,sofi technologies bbb,bbb,bbb,cfpb_complaint,approved_seed,"SOFI TECHNOLOGIES, INC.",cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
159,sofi technologies complaints,sofi technologies complaints,complaints,complaints,cfpb_complaint,approved_seed,"SOFI TECHNOLOGIES, INC.",cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
161,sofi technologies phone number,sofi technologies phone number,phone_number,phone_number,cfpb_complaint,approved_seed,"SOFI TECHNOLOGIES, INC.",cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
158,sofi technologies reviews,sofi technologies reviews,reviews,reviews,cfpb_complaint,approved_seed,"SOFI TECHNOLOGIES, INC.",cfpb_complaint,approved_seed,90.5,0.905,unknown,needs_review,0,1,2026-06-11T00:20:04Z
343,exeter finance,exeter finance,brand,brand,cfpb_complaint,approved_seed,"Exeter Finance, LLC.",cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
348,exeter finance alternative,exeter finance alternative,alternative,alternative,cfpb_complaint,approved_seed,"Exeter Finance, LLC.",cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
346,exeter finance bbb,exeter finance bbb,bbb,bbb,cfpb_complaint,approved_seed,"Exeter Finance, LLC.",cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
345,exeter finance complaints,exeter finance complaints,complaints,complaints,cfpb_complaint,approved_seed,"Exeter Finance, LLC.",cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
347,exeter finance phone number,exeter finance phone number,phone_number,phone_number,cfpb_complaint,approved_seed,"Exeter Finance, LLC.",cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
344,exeter finance reviews,exeter finance reviews,reviews,reviews,cfpb_complaint,approved_seed,"Exeter Finance, LLC.",cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
283,hyundai capital america,hyundai capital america,brand,brand,cfpb_complaint,approved_seed,HYUNDAI CAPITAL AMERICA,cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
288,hyundai capital america alternative,hyundai capital america alternative,alternative,alternative,cfpb_complaint,approved_seed,HYUNDAI CAPITAL AMERICA,cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
286,hyundai capital america bbb,hyundai capital america bbb,bbb,bbb,cfpb_complaint,approved_seed,HYUNDAI CAPITAL AMERICA,cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
285,hyundai capital america complaints,hyundai capital america complaints,complaints,complaints,cfpb_complaint,approved_seed,HYUNDAI CAPITAL AMERICA,cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
287,hyundai capital america phone number,hyundai capital america phone number,phone_number,phone_number,cfpb_complaint,approved_seed,HYUNDAI CAPITAL AMERICA,cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
284,hyundai capital america reviews,hyundai capital america reviews,reviews,reviews,cfpb_complaint,approved_seed,HYUNDAI CAPITAL AMERICA,cfpb_complaint,approved_seed,90.0,0.9,unknown,needs_review,0,1,2026-06-11T00:20:04Z
37,cl,cl,brand,brand,cfpb_complaint,approved_seed,CL Holdings LLC,cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
42,cl alternative,cl alternative,alternative,alternative,cfpb_complaint,approved_seed,CL Holdings LLC,cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
40,cl bbb,cl bbb,bbb,bbb,cfpb_complaint,approved_seed,CL Holdings LLC,cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
39,cl complaints,cl complaints,complaints,complaints,cfpb_complaint,approved_seed,CL Holdings LLC,cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
41,cl phone number,cl phone number,phone_number,phone_number,cfpb_complaint,approved_seed,CL Holdings LLC,cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
38,cl reviews,cl reviews,reviews,reviews,cfpb_complaint,approved_seed,CL Holdings LLC,cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
49,portfolio recovery associates,portfolio recovery associates,brand,brand,cfpb_complaint,approved_seed,"Portfolio Recovery Associates, LLC",cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
